GS,MS,JPM,
196.06,43.69,95.82,
179.93,40.13,89.47,
180.1,40.3,90.17,
181.44,41.06,91.33,
177.83,39.33,88.67,
181.88,40.28,90.45,
171.87,37.29,85.9,
174.45,37.81,87.52,
171.8,36.99,84.03,
177.21,38.42,87.03,
183.16,39.83,89.97,
185.39,40.08,92.7,
182.32,38.81,91.21,
176.92,37.3,90.27,
178.3,37.98,92,
176.03,38.09,92.14,
177.1,38.4,93.25,
183.42,39.43,95.76,
190.03,40.79,97.86,
187.01,40.13,95.29,
183.54,39.31,94.62,
177,37.97,90.71,
175.05,37.47,89.39,
175.98,37.81,89.34,
173.81,36.95,89.05,
180.4,38.36,91.71,
183.49,39.09,95.18,
177.04,38.36,87.33,
178.52,38.4,90.79,
178.23,39.86,95.5,
179.18,39.58,98.19,
184.26,41.08,102.76,
176.96,39.37,94.3,
166.02,36.94,90.64,
158.23,37.01,89.46,
146.93,33.85,84.05,
149.93,33.9,87.51,
145.29,31.62,84.36,
154.59,34,90.03,
159.62,34.84,93.5,
158.34,34.01,91.13,
165.79,35.71,98.12,
155.13,33.99,91.73,
153.6,33.22,88.43,
134.97,27.81,79.03,
138.41,29.67,83.5,
149.49,30.92,85.3,
140.02,30.75,83.89,
158.67,33.79,93.76,
154.66,31.65,88.36,
177.17,37.5,103.91,
150.68,31.31,88.05,
171.89,36.87,95.96,
184.35,39.5,100.7,
172.81,37.5,93.44,
192.85,41.84,108.08,
198.79,42.59,113.97,
208.74,45.24,119.85,
203.43,44.4,116.96,
209.47,46.48,121.52,
200.77,45.03,116.11,
205.69,45.41,121.37,
215.78,47.24,126.64,
217.61,48.03,126.26,
224.54,49.68,132.16,
230.62,52.42,135.81,
232.73,53.75,137.49,
237.33,56.31,137.49,
233.21,55.52,135.64,
237.08,55.84,137.46,
238.35,55.93,137.88,
238.65,56.18,138,
236.46,55.78,138,
237.36,55.35,137.74,
238,55.03,137.17,
241.82,55.01,137.61,
244.3,54.99,137.59,
241.94,54.02,135.29,
239.01,52.6,133.37,
237.75,52.26,132.36,
244.13,53.82,135.89,
240.12,53.68,134.23,
242.58,54.02,134.43,
238.14,53.11,132.03,
241.92,54.55,133.15,
245.58,55.53,136.54,
247.05,55.86,136.68,
245.7,55.92,136.84,
249.46,57.51,138.2,
249.72,56.44,137.25,
245.21,52.94,136.72,
245.66,52.86,138.8,
245.21,52.78,137.2,
242.11,52.21,136.07,
242.6,52.06,137.44,
237.76,51.57,136.94,
235.49,50.92,135.88,
233.95,51.02,138.23,
231.58,51.2,138.34,
234.32,52.04,141.09,
229.93,51.12,139.4,
229.8,50.96,138.63,
230.66,51.09,139.14,
231.21,51.11,139.04,
229.91,50.69,137.58,
229.09,50.72,137.2,
228.93,50.69,137.24,
229.94,50.86,137.35,
230.45,50.66,138.04,
231.15,50.9,138.18,
228.04,50.72,137.34,
225,50.24,136.81,
226.05,50.69,138.02,
221.19,49.45,134.18,
221.88,49.67,134.5,
221.81,49.6,134.41,
224.61,49.8,135.04,
217.14,49.07,133.06,
215.94,48.84,132.34,
212.24,48.11,129.78,
217.64,49.08,131.47,
221.35,49.48,131.76,
222.95,49.78,132.06,
222.45,49.41,131.67,
222.75,49.96,131.49,
220.28,49.25,130.79,
218.23,48.84,129.93,
217.91,49.1,129.63,
220.04,49.33,130.58,
219.73,49.03,130.62,
220.25,48.99,129.53,
219.43,48.61,128.6,
219.32,48.39,128.48,
220.41,49.01,129.16,
219.03,49.09,129.92,
222.91,49.15,130.38,
223.29,48.66,130,
218.42,48.56,129.3,
218.64,48.75,129.1,
219.87,48.83,128.82,
217.39,47.33,127.8,
213.38,46.05,124.92,
215.81,46.26,125.73,
217.64,46.83,126.43,
217.75,46.84,126.51,
214.23,46.37,126.03,
211.05,45.76,125.03,
211.32,45.91,125.12,
209.6,45.38,124.79,
209.25,44.98,123.55,
206.52,43.66,120.56,
206.46,43.44,120.35,
207.42,42.79,119.68,
206.46,42.53,119.96,
205.82,42.25,116.45,
204.68,41.93,116.14,
199.87,41.05,114.21,
196.85,40.44,112.63,
197.37,39.82,111.82,
200.4,40.68,114.37,
200.8,40.78,114.62,
197.24,40.25,112.19,
198.25,40.23,113.25,
202.69,41.38,115.55,
207.23,42.67,117.69,
208.97,42.84,117.72,
208.22,42.62,117.03,
210.03,43.04,118,
207.75,42.54,117.33,
213.46,43.56,118.88,
213.74,43.67,118.9,
215.23,44.02,119.38,
217.08,44.36,119.76,
215.91,44.21,118.57,
217.22,44.75,119.16,
219.9,45.16,120.23,
218.74,44.32,117.91,
216.8,43.94,117.19,
215.63,43.58,116.87,
211.98,43.11,115.4,
207.21,42.18,112.61,
207.05,42.47,112.37,
201.73,41.53,109.87,
198.97,40.99,108.56,
203.91,41.49,109.86,
203.44,41.29,109.22,
200.42,40.38,106.8,
198.07,39.79,105.74,
199.65,40.16,106.87,
196.2,39.33,106.02,
202.42,40.27,108.72,
200.68,39.94,107.61,
199.98,39.9,107.31,
202.2,40.37,108.69,
199.42,39.94,107.72,
196.18,39.1,105.2,
195.56,39.33,104.8,
204.11,40.69,109.34,
201.52,40.36,107.68,
206.9,41.5,109.74,
207,41.27,109.86,
205.74,40.56,108.03,
206.01,41.22,110.43,
201.68,40.49,109.57,
209.37,42.12,112.93,
211.6,42.93,112.94,
220.13,44.56,116,
221.4,44.67,115.59,
220.32,45.23,115.85,
222.14,45.74,116.22,
219.98,44.87,115.71,
222.03,45.5,116.83,
219.43,45.1,116.36,
214,44.5,114.27,
213.52,44.39,113.54,
214.52,44.43,114.67,
213.3,43.77,113.99,
215.52,44.43,115.12,
211.58,44.43,113.9,
213.94,44.87,115.3,
211.35,44.18,114.1,
205.97,43.31,113.02,
207.77,43.78,113.35,
205.75,43.49,112.87,
207.9,44.21,113.49,
206.04,43.99,112.82,
205.98,43.83,113.8,
206.86,43.95,113.68,
204.6,43.81,111.8,
199.32,43.49,108.84,
197.01,42.99,108.48,
196.06,42.66,107.76,
197.49,43.07,108.66,
195.94,43.58,109.44,
195.7,43.46,110.19,
195.64,43.14,109.91,
194.98,43.34,110.71,
190.83,42.51,109.22,
191.66,42.82,109.82,
191.45,42.95,109.54,
190.22,42.62,109.27,
194.73,43.67,110.68,
194.12,43.29,110.34,
189.81,42.7,109.16,
189.81,42.81,110.37,
188.44,42.43,110.13,
189.88,42.48,109.74,
183.19,40.73,106.46,
182.49,40.69,105.96,
187.37,41.83,107.06,
188.05,42.19,108.22,
189.44,42.17,108.52,
193,42.96,109.71,
191.97,42.71,108.64,
195.52,43.49,110.82,
199.11,44.39,111.73,
197.24,43.87,111.35,
197.43,43.88,110.77,
199.14,44.28,111.31,
196.4,43.9,109.9,
196.28,44.01,110.32,
194.97,44.18,109.45,
202.05,46.34,112.51,
201.63,46.45,112.52,
200.95,46.53,112.61,
202.63,46.71,113.21,
206.43,47.71,115.09,
207.52,48.06,116.12,
204.99,47.81,115.41,
204.73,47.57,115.16,
205.92,48.25,116.05,
206.92,48.46,116.12,
203.08,47.89,114.47,
201.4,47.29,113.61,
200.54,47.38,113.55,
204.14,47.35,113.74,
204.6,47.29,113.6,
205.91,47.55,113.46,
207.9,48.26,114.3,
201.84,47.02,111.1,
199.91,46.08,109.94,
207.84,46.69,111.21,
202.83,44.8,106.23,
202.98,44.45,105.34,
200.62,44.26,104.87,
202.54,44.98,105.65,
202.38,44.9,105.31,
202.23,44.93,105.56,
200.86,44.38,105.35,
197.5,43.7,105.14,
196.74,43.53,104.64,
191.99,42.2,101.23,
191.18,41.93,100.71,
190.03,41.37,99.58,
190.69,41.88,99.92,
188.51,41.25,98.93,
188.96,41.72,99.76,
194.58,43.13,102.87,
194.32,43.03,104.52,
201.12,43.95,106.8,
202.47,44.03,107.19,
198.26,43.33,106.55,
197.47,42.69,105.34,
197.25,42.41,104.39,
196.63,42.03,104.04,
195.97,41.85,104.35,
195.24,41.36,103.01,
192.77,41.17,102.97,
194.74,41.62,103.72,
196,41.9,104.11,
195.98,42,104.19,
198.2,42.5,104.43,
196.7,41.98,104.36,
198.1,42.56,105.16,
198.9,42.41,105.29,
198.65,42.19,106.1,
196,41.79,105,
196.36,41.96,105.47,
198.6,42.42,105.69,
198.67,42.16,105.18,
198.5,41.99,105.55,
192.53,40.72,102.42,
194.69,41.19,103.09,
194.49,41.15,102.6,
191.33,40.21,100.88,
191.67,40.81,101.36,
193.07,41.48,102.38,
196.62,42.38,103.74,
198.01,42.45,103.79,
197.72,42.46,104.25,
196.54,41.82,103.88,
198.01,42.3,103.5,
202.48,42.79,104.41,
200.5,42.49,104.17,
199.72,42.65,103.88,
200.74,42.98,103.39,
197.8,42.05,102.74,
196.9,42.15,102.68,
197.68,42.41,102.94,
202.54,43.69,104.59,
199.09,42.53,102.92,
197.08,44.49,102.5,
179.91,42.88,101.68,
178.72,42.48,100.94,
176.93,41.74,99.91,
176,41.66,100.39,
176.47,41.74,100.4,
175.37,41.45,100.57,
176.02,41.71,100.76,
175.05,41.3,100.69,
169.51,39.68,97.11,
172.03,40.4,99.31,
167.05,39.65,97.62,
163.03,39.37,96.83,
165.41,39.66,97.04,
162.93,39.3,95.96,
156.35,37.01,92.14,
160.05,37.68,94.17,
168.41,38.91,96.45,
169.25,39.3,97.29,
171.5,39.89,98.54,
168.01,39.6,99.01,
172.77,39.64,100.29,
175.92,40.6,101.12,
176.7,40.81,101.02,
176.8,40.62,100.37,
178.83,40.71,101.36,
179.67,41.32,103.29,
184.09,42.61,105.19,
184.31,43.12,107.23,
191.63,45.41,112.24,
190.69,44.39,111.19,
194.85,44.51,110.06,
198.35,45.31,110.94,
193.65,44.05,109.72,
194.34,44.28,109.26,
189.1,43.08,106.65,
192.6,43.73,107.64,
191.34,43.1,108.45,
198.22,44.41,110.83,
202.12,44.13,109.99,
203.74,44.3,110.07,
202.49,43.85,107.33,
205.05,44.68,109.59,
206.05,44.13,108.95,
222.65,45.73,111.29,
231.65,46.43,112.38,
231.28,46.61,111.48,
228.2,45.72,109.6,
228.72,45.82,109.09,
229.69,45.95,108.38,
226.97,45.89,108.98,
225.37,45.66,109.02,
219.28,44.5,106.7,
214.49,43.95,104.85,
212.36,43.97,103.42,
214.01,44.55,104.86,
209.18,43.49,103.29,
218.56,44.52,105.25,
221.6,45.11,106.36,
226.96,46.42,107.91,
224.95,46.03,108.09,
228.28,47.19,109.83,
221.7,45.94,108.62,
215.22,43.47,106.34,
213.87,43.43,106.95,
212.97,43.49,108.13,
214.89,44.62,111.47,
222.91,46.16,114.52,
225.35,47.02,115.32,
225.71,46.75,114.62,
227.48,47.27,115.27,
227.78,47.11,115.04,
226.07,46.63,113.97,
225.33,46.63,113.5,
224.24,46.57,112.84,
227.74,47.77,114.52,
228.88,47.7,115.02,
232.5,48.28,116.39,
232.9,48.56,116.72,
235.34,49.41,117.85,
237.4,49.88,118.63,
235.58,49.1,117.62,
228.89,47.85,114.3,
227.89,47.68,113.84,
229.24,48.19,113.5,
228.33,47.72,113.52,
228.15,47.48,113.08,
230.21,47.86,114.43,
231.91,47.94,113.71,
233.91,48.22,114.32,
234.52,47.93,114.1,
237.56,48.72,114.59,
237.66,48.71,115.15,
237.81,48.83,114.58,
239.4,49.3,115.19,
241.4,49.95,115.76,
242.37,50,116.14,
242.6,49.89,116.71,
235.11,48.14,114.68,
236.34,48.13,114.73,
239.34,48.6,114.97,
238.65,48.54,115.32,
235.78,48.29,114.62,
233.38,48.37,114.77,
233,48.3,114.77,
229.25,47.45,113.7,
229.56,47.86,114.65,
226.86,47.35,113.89,
229.61,48.39,115.73,
233.78,49.44,116.88,
236.37,50.12,117.79,
237.83,50.13,117.55,
235.93,49.99,117.12,
234.09,49.91,117.09,
233.99,49.81,116.15,
236.04,50.18,115.66,
237.43,50.56,114.95,
238.95,50.9,116.73,
237.64,51.05,116.03,
237.11,50.99,114.85,
236.69,51.04,115.18,
235.88,50.98,114.15,
233.76,50.74,113.35,
231.69,50.27,111.28,
229.63,49.85,109.89,
231.24,50.56,111.53,
231.02,49.18,110.5,
231.44,48.9,110.58,
226.41,48.08,106.36,
227.22,48.02,106.85,
225.66,47.75,106.39,
226.85,48.1,106.62,
227.99,48.41,107.28,
221.79,47.09,104.06,
220.74,46.7,103.72,
220.38,47.02,103.61,
223.26,47.72,105.08,
220.57,47.4,104.2,
223.42,48.29,104.93,
220.18,47.19,103.24,
221.58,47.79,104.86,
221.54,47.93,104.79,
226.02,48.89,105.75,
226.98,49.79,107.51,
227.82,49.89,107.54,
228.32,49.92,107.55,
231.39,50.77,108.18,
231.92,51.16,107.9,
233.65,51.31,108.03,
233.83,51.6,109.97,
232.63,51.32,110.19,
234.09,51.78,110.83,
233.39,51.91,111.11,
233.45,52.14,110.8,
232.23,51.91,110.36,
228.34,50.78,107.84,
229.89,51.55,108.45,
228.35,51.21,108.4,
225.88,50.14,107.01,
229.16,50.97,108.35,
227.03,49.96,105.93,
235.01,53.01,110.66,
236.1,54,111.23,
237.81,54.35,112.49,
238,54.88,113.01,
237.7,54.36,112.15,
237,53.92,111.13,
239.1,54.87,112.96,
240.96,54.97,113.34,
241.56,54.85,113.03,
243.91,55.22,113.9,
242.92,55.2,113.86,
243.44,55.04,114.29,
241.73,54.14,113.41,
237,53.38,110.99,
237.2,52.39,109.37,
234.94,51.4,108.43,
233.41,51.08,107.24,
234.05,51.7,107.92,
236.67,51.81,108.78,
238.33,51.62,108.78,
239.8,51.86,109.4,
240.09,52.2,110.1,
239.23,52.04,109.99,
242.49,53.07,110.41,
246.67,53.64,110.93,
251.96,54.46,111.47,
254.17,54.7,111.72,
254,53.26,109.32,
253.63,53.24,110.21,
257.88,53.4,110.21,
255.92,52.98,110.3,
259.59,53.85,113.37,
252.94,52.74,110.62,
256.57,54.14,112.51,
252.19,53.35,110.4,
249.97,53.04,109.09,
255.81,54.86,111.88,
252.62,53.67,110.99,
250.58,53.17,109.33,
247.35,52.72,107.85,
251.86,53.96,109.97,
249.37,52.91,108,
247.26,53.15,108.17,
254.88,54.3,110.31,
245.26,52.07,107.01,
252.6,54.64,109.95,
261.85,57.11,114.74,
263.19,57.47,114.64,
262.53,56.95,114.53,
267.6,57.51,115.44,
266.61,57.22,115.24,
264.43,56.99,114.95,
268.53,58.03,116.25,
273.38,58.91,117.66,
270.77,58.67,118.04,
266.34,56.96,114.74,
265.35,56.88,114.73,
266.93,56.56,115.16,
263.12,55.49,115.06,
258.12,54.74,113.32,
256.78,54.49,113.43,
262.93,56.02,115.5,
267.93,56.72,117.36,
271.26,57.01,118.77,
266.77,56.07,117.31,
261.43,54.86,114.98,
263.4,55.1,115.19,
264.89,55.06,114.71,
267.62,55.14,114.68,
267.68,55.4,115.51,
262.58,55.05,115.03,
255.53,53.39,112.43,
253.16,53.43,111.74,
249.3,52.14,110.04,
246.35,51.79,107.88,
257.1,54.55,112.87,
258.7,54.33,112.11,
249.11,52.55,108.8,
260.04,55.48,114.28,
272.23,57.45,116.87,
267.89,56.55,115.67,
268.94,56.6,115.11,
272.48,57.45,116.2,
268.14,57.6,116.32,
269.03,56.81,115.7,
265.68,57.24,115.67,
260.09,56.91,114.21,
261.52,57.36,114.33,
256.12,57.46,113.01,
250.97,55.84,113.26,
253.65,55.35,112.99,
258.46,54.6,112.27,
257.03,55.12,112.67,
255.13,54.2,110.84,
254.33,53.93,110.25,
253.94,53.3,109.05,
251.81,52.89,108.5,
255.52,53.11,108.34,
256.83,53.13,109.04,
253.29,52.33,108.06,
255.67,52.19,107.95,
254.76,52.47,106.94,
256.5,52.65,107.79,
255.95,52.57,107.22,
257.72,52.47,107.02,
258.97,52.72,107.45,
261.01,52.88,107.83,
255.18,52.51,106.14,
256.48,52.93,106.51,
260.02,53.24,106.96,
257.17,53.1,106.14,
255.48,52.64,104.66,
255.56,53.18,105.51,
257.68,53.85,106.85,
